message,attributes,tags,timestamp
"100.64.0.8 - - [12/Jan/2026:20:48:18 +0000] ""GET /scraper/progress/58ff478b-8a83-4b2d-a2e3-005ba567dca9/ HTTP/1.1"" 200 31521 ""https://web-production-0e103.up.railway.app/scraper/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:48:26.466534773Z
"100.64.0.8 - - [12/Jan/2026:20:48:18 +0000] ""GET /static/css/style.css HTTP/1.1"" 304 0 ""https://web-production-0e103.up.railway.app/scraper/progress/58ff478b-8a83-4b2d-a2e3-005ba567dca9/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:48:26.466541672Z
"100.64.0.8 - - [12/Jan/2026:20:48:18 +0000] ""GET /static/js/dist/common.bundle.js HTTP/1.1"" 304 0 ""https://web-production-0e103.up.railway.app/scraper/progress/58ff478b-8a83-4b2d-a2e3-005ba567dca9/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:48:26.466548333Z
"100.64.0.8 - - [12/Jan/2026:20:48:18 +0000] ""GET /static/js/dist/mobile.bundle.js HTTP/1.1"" 304 0 ""https://web-production-0e103.up.railway.app/scraper/progress/58ff478b-8a83-4b2d-a2e3-005ba567dca9/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:48:26.466554866Z
"100.64.0.8 - - [12/Jan/2026:20:48:27 +0000] ""GET /static/css/style.css HTTP/1.1"" 304 0 ""https://web-production-0e103.up.railway.app/scraper/dashboard/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:48:28.217245043Z
"100.64.0.8 - - [12/Jan/2026:20:48:27 +0000] ""GET /static/js/dist/common.bundle.js HTTP/1.1"" 304 0 ""https://web-production-0e103.up.railway.app/scraper/dashboard/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:48:28.217252776Z
"100.64.0.8 - - [12/Jan/2026:20:48:27 +0000] ""GET /static/js/dist/mobile.bundle.js HTTP/1.1"" 304 0 ""https://web-production-0e103.up.railway.app/scraper/dashboard/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:48:28.217257892Z
"100.64.0.8 - - [12/Jan/2026:20:48:26 +0000] ""GET /scraper/dashboard/ HTTP/1.1"" 200 137822 ""https://web-production-0e103.up.railway.app/scraper/progress/58ff478b-8a83-4b2d-a2e3-005ba567dca9/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:48:28.217296129Z
"100.64.0.8 - - [12/Jan/2026:20:48:42 +0000] ""GET /scraper/property/19-30-16-28964-000-0282/ HTTP/1.1"" 200 35179 ""https://web-production-0e103.up.railway.app/scraper/dashboard/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:48:47.858803664Z
"100.64.0.8 - - [12/Jan/2026:20:48:42 +0000] ""GET /static/css/style.css HTTP/1.1"" 304 0 ""https://web-production-0e103.up.railway.app/scraper/property/19-30-16-28964-000-0282/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""","{""level"":""info""}","{""project"":""dc549ac5-5e3b-4ed4-a08d-e61e4e393165"",""environment"":""bcde3e33-7dba-486d-b80e-dd0faae26975"",""service"":""6d8bd6f2-1d0d-4b0e-9e27-b4d7c5ba2d2e"",""deployment"":""dd05ca2a-e9ea-4de2-824d-9099437f333d"",""replica"":""0a594023-1b32-4de7-b3e5-e2845a2cb3b9""}",2026-01-12T20:48:47.858810673Z
